Id	Age	Sex
1	0	F
2	1	F
3	2	F
4	3	F
5	4	F
6	5	F
7	6	F
8	7	F
9	8	F
10	9	F
11	10	F
12	11	F
13	12	F
14	13	F
15	14	F
16	15	F
17	16	F
18	17	F
19	18	F
20	19	F
21	20	F
22	21	F
23	22	F
24	23	F
25	24	F
26	25	F
27	26	F
28	27	F
29	28	F
30	29	F
31	30	F
32	31	F
33	32	F
34	33	F
35	34	F
36	35	F
37	36	F
38	37	F
39	38	F
40	39	F
41	40	F
42	41	F
43	42	F
44	43	F
45	44	F
46	45	F
47	46	F
48	47	F
49	48	F
50	49	F
51	50	F
52	51	F
53	52	F
54	53	F
55	54	F
56	55	F
57	56	F
58	57	F
59	58	F
60	59	F
61	60	F
62	61	F
63	62	F
64	63	F
65	64	F
66	65	F
67	66	F
68	67	F
69	68	F
70	69	F
71	70	F
72	71	F
73	72	F
74	73	F
75	74	F
76	75	F
77	76	F
78	77	F
79	78	F
80	79	F
81	80	F
82	81	F
83	82	F
84	83	F
85	84	F
86	85	F
87	86	F
88	87	F
89	88	F
90	89	F
91	90	F
92	91	F
93	92	F
94	93	F
95	94	F
96	95	F
97	96	F
98	97	F
99	98	F
100	99	F
101	100	F
102	0	M
103	1	M
104	2	M
105	3	M
106	4	M
107	5	M
108	6	M
109	7	M
110	8	M
111	9	M
112	10	M
113	11	M
114	12	M
115	13	M
116	14	M
117	15	M
118	16	M
119	17	M
120	18	M
121	19	M
122	20	M
123	21	M
124	22	M
125	23	M
126	24	M
127	25	M
128	26	M
129	27	M
130	28	M
131	29	M
132	30	M
133	31	M
134	32	M
135	33	M
136	34	M
137	35	M
138	36	M
139	37	M
140	38	M
141	39	M
142	40	M
143	41	M
144	42	M
145	43	M
146	44	M
147	45	M
148	46	M
149	47	M
150	48	M
151	49	M
152	50	M
153	51	M
154	52	M
155	53	M
156	54	M
157	55	M
158	56	M
159	57	M
160	58	M
161	59	M
162	60	M
163	61	M
164	62	M
165	63	M
166	64	M
167	65	M
168	66	M
169	67	M
170	68	M
171	69	M
172	70	M
173	71	M
174	72	M
175	73	M
176	74	M
177	75	M
178	76	M
179	77	M
180	78	M
181	79	M
182	80	M
183	81	M
184	82	M
185	83	M
186	84	M
187	85	M
188	86	M
189	87	M
190	88	M
191	89	M
192	90	M
193	91	M
194	92	M
195	93	M
196	94	M
197	95	M
198	96	M
199	97	M
200	98	M
201	99	M
202	100	M
203	1	X
204	2	X
205	3	X
206	4	X
207	5	X
208	6	X
209	7	X
210	8	X
211	9	X
212	10	X
213	11	X
214	12	X
215	13	X
216	14	X
217	15	X
218	16	X
219	17	X
220	18	X
221	19	X
222	20	X
223	21	X
224	22	X
225	23	X
226	24	X
227	25	X
228	26	X
229	27	X
230	28	X
231	29	X
232	30	X
233	31	X
234	32	X
235	33	X
236	34	X
237	35	X
238	36	X
239	37	X
240	38	X
241	39	X
242	40	X
243	41	X
244	42	X
245	43	X
246	44	X
247	45	X
248	46	X
249	47	X
250	48	X
251	49	X
252	50	X
253	51	X
254	52	X
255	53	X
256	54	X
257	55	X
258	56	X
259	57	X
260	58	X
261	59	X
262	60	X
263	61	X
264	62	X
265	63	X
266	64	X
267	65	X
268	66	X
269	67	X
270	68	X
271	69	X
272	70	X
273	71	X
274	72	X
275	73	X
276	74	X
277	75	X
278	76	X
279	77	X
280	78	X
281	79	X
282	80	X
283	81	X
284	82	X
285	83	X
286	84	X
287	85	X
288	86	X
289	87	X
290	88	X
291	89	X
292	90	X
293	91	X
294	92	X
295	93	X
296	94	X
297	95	X
298	96	X
299	97	X
300	98	X
301	99	X
302	100	X
